scale,nodes,edges,transactions,step,seconds,mode,repeat,betweenness_samples,degree_distribution,amount_distribution
1,2248,3119,4840,synthetic_load,0.0816291109949816,exact,1,0,exact,exact
1,2248,3119,4840,features,2.8289163980080048,exact,1,0,exact,exact
1,2248,3119,4840,temporal,0.03631966499960981,exact,1,0,exact,exact
1,2248,3119,4840,taint,0.06031662999885157,exact,1,0,exact,exact
1,2248,3119,4840,truncation,0.10842629600665532,exact,1,0,exact,exact
1,2248,3119,4840,roles,0.46664530200359877,exact,1,0,exact,exact
1,2248,3119,4840,clusters,0.1131587340059923,exact,1,0,exact,exact
1,2248,3119,4840,priority,0.5041149280004902,exact,1,0,exact,exact
1,2248,3119,4840,cluster_summary,0.1525373330077855,exact,1,0,exact,exact
1,2248,3119,4840,resilience,0.4850490740063833,exact,1,0,exact,exact
1,2248,3119,4840,core_export,0.04573112299840432,exact,1,0,exact,exact
1,2248,3119,4840,total,4.900729126005899,exact,1,0,exact,exact
1,2248,3119,4840,temporal_reference,5.0696446360088885,before,1,0,exact,exact
1,2248,3119,4840,synthetic_load,0.03840039200440515,sampled,1,32,exact,exact
1,2248,3119,4840,features,0.0758496490016114,sampled,1,32,exact,exact
1,2248,3119,4840,temporal,0.03351334799663164,sampled,1,32,exact,exact
1,2248,3119,4840,taint,0.06340624499716796,sampled,1,32,exact,exact
1,2248,3119,4840,truncation,0.09735584999725688,sampled,1,32,exact,exact
1,2248,3119,4840,roles,0.5074150599975837,sampled,1,32,exact,exact
1,2248,3119,4840,clusters,0.11620217400195543,sampled,1,32,exact,exact
1,2248,3119,4840,priority,0.5179573239875026,sampled,1,32,exact,exact
1,2248,3119,4840,cluster_summary,0.16276474599726498,sampled,1,32,exact,exact
1,2248,3119,4840,resilience,0.4701055240002461,sampled,1,32,exact,exact
1,2248,3119,4840,core_export,0.04808381300244946,sampled,1,32,exact,exact
1,2248,3119,4840,total,2.147971218000748,sampled,1,32,exact,exact
10,22480,31190,48400,synthetic_load,0.20997983199777082,sampled,1,32,exact,exact
10,22480,31190,48400,features,1.0148180190008134,sampled,1,32,exact,exact
10,22480,31190,48400,temporal,0.2166959550086176,sampled,1,32,exact,exact
10,22480,31190,48400,taint,0.18622573500033468,sampled,1,32,exact,exact
10,22480,31190,48400,truncation,0.25409818200569134,sampled,1,32,exact,exact
10,22480,31190,48400,roles,4.372180149002816,sampled,1,32,exact,exact
10,22480,31190,48400,clusters,1.3971287710010074,sampled,1,32,exact,exact
10,22480,31190,48400,priority,4.308437254992896,sampled,1,32,exact,exact
10,22480,31190,48400,cluster_summary,0.4071714980091201,sampled,1,32,exact,exact
10,22480,31190,48400,resilience,4.642745551012922,sampled,1,32,exact,exact
10,22480,31190,48400,core_export,0.22380005700688343,sampled,1,32,exact,exact
10,22480,31190,48400,total,17.25072105099389,sampled,1,32,exact,exact
100,224800,311900,484000,synthetic_load,1.7681683199916733,sampled,1,32,exact,exact
100,224800,311900,484000,features,15.874552384004346,sampled,1,32,exact,exact
100,224800,311900,484000,temporal,2.110174236004241,sampled,1,32,exact,exact
100,224800,311900,484000,taint,2.8871870120055974,sampled,1,32,exact,exact
100,224800,311900,484000,truncation,2.3249428819981404,sampled,1,32,exact,exact
100,224800,311900,484000,roles,46.641474317002576,sampled,1,32,exact,exact
100,224800,311900,484000,clusters,24.314037683987408,sampled,1,32,exact,exact
100,224800,311900,484000,priority,47.676000261999434,sampled,1,32,exact,exact
100,224800,311900,484000,cluster_summary,2.9435628080100287,sampled,1,32,exact,exact
100,224800,311900,484000,resilience,56.91387304800446,sampled,1,32,exact,exact
100,224800,311900,484000,core_export,2.3523970849928446,sampled,1,32,exact,exact
100,224800,311900,484000,total,205.82758560999355,sampled,1,32,exact,exact
